Pedido;Lote;Romaneio;Cliente;Canal;Sub Canal;Vendedor;Desc;Desc Fin;Tx Fin;T.C.;C.P.;Dias;VC 1a;VC 2a;VC 3a;VC 4a;VC 5a;Dt.Ven 1a;Banco;Trans;Placa;Mot;Ajud1;Ajud2;Canc;Dt.Acerto;Flag Romaneio;Mot Dev;Mot Bloq;Dt.Pedido;Pasta;||Item;Fam;Prd;Cod Red;Tabela;Desc;Vlr Total;Vlr Retorno;Vlr Unitario;ICMR;Desp.Acess;Desc.Verba;Tx.Finan;Quant CX;Quant UN;Retorno CX;Retorno UN;Desc.Max;Serie;NF;Nat.Oper;Ocorr;Ocosigla;FL;FLN;FLB;FL NF-E;No CEV;Preco Liq;Preco Tabela;Mot.Troca;QTD/UND;Vd CX Liq;Vd UN Liq;Vlr Vd Liq;Cat Prod;Descr Cat;Licenca;
201610210001;0001;20161021016;00050241;A1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;000;21/10/2016;0003;||001;001;019;0000903061;20161501;0,00;179,4000;0,0000;89,7000;0,00;0,00;0,00;0,00;00002;00000;00000;00000;0,00;1;000173584;000;001;V; ;S;N;S;000000;0,00;89,70;000;00024;179,4000;0,0000;179,4000;07;600ML RETORNAVEL;335101;
201610210002;0001;20161021016;00050238;I2;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;000;21/10/2016;0004;||001;025;008;0000903048;20161504;0,00;299,2000;0,0000;37,4000;0,00;0,00;0,00;0,00;00008;00000;00000;00000;0,00;1;000173585;000;001;V; ;S;N;S;000000;0,00;37,40;000;00012;299,2000;0,0000;299,2000;68;1000ML RETORNAVEL;335101;
201610210002;0001;20161021016;00050238;I2;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;000;21/10/2016;0004;||002;025;008;0000903048;20161504;0,00;0,0000;0,0000;0,0000;0,00;0,00;0,00;0,00;00000;00003;00000;00000;0,00;1;000173586;000;002;B; ;S;N;N;000000;0,00;37,40;051;00012;0,0000;0,0000;0,0000;68;1000ML RETORNAVEL;335101;
201610210002;0001;20161021016;00050238;I2;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;000;21/10/2016;0004;||003;025;008;0000903048;20161504;0,00;0,0000;0,0000;0,0000;0,00;0,00;0,00;0,00;00000;00003;00000;00000;0,00;1;000173586;000;004;B; ;S;N;N;000000;0,00;37,40;052;00012;0,0000;0,0000;0,0000;68;1000ML RETORNAVEL;335101;
201610210003;0001;20161021016;00050012;A1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||001;040;032;0000902581;20161501;0,00;47,9800;0,0000;47,9800;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173587;001;001;V; ;S;N;S;000000;47,98;47,98;000;00012;47,9800;0,0000;47,9800;19;355ML LN2X06UN;335101;
201610210003;0001;20161021016;00050012;A1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||002;210;007;0000902791;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173587;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;
201610210003;0001;20161021016;00050012;A1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||003;210;008;0000902800;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173587;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;
201610210003;0001;20161021016;00050012;A1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||004;210;009;0000902813;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173587;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;
201610210004;0001;20161021016;00050071;B1;000;203;0,00;0,00;0,00;1;06;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||001;200;026;0000902780;20161501;0,00;39,6000;0,0000;19,8000;0,00;0,00;0,00;0,00;00002;00000;00000;00000;0,00;1;000173588;001;001;V; ;S;N;S;000000;19,80;19,80;000;00006;39,6000;0,0000;39,6000;09;2000ML PET;335101;
201610210004;0001;20161021016;00050071;B1;000;203;0,00;0,00;0,00;1;06;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||002;310;001;0000900023;20161501;0,00;18,8000;0,0000;9,4000;0,00;0,00;0,00;0,00;00002;00000;00000;00000;0,00;1;000173588;001;001;V; ;S;N;S;000000;9,40;9,40;000;00012;18,8000;0,0000;18,8000;06;500ML PET 12UN;335101;
201610210005;0001;20161021016;00050102;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||001;001;012;0000902411;20161501;0,00;77,9000;0,0000;77,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173589;001;001;V; ;S;N;S;000000;77,90;77,90;000;00024;77,9000;0,0000;77,9000;07;600ML RETORNAVEL;335101;
201610210005;0001;20161021016;00050102;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||002;200;031;0000902809;20161501;0,00;19,8000;0,0000;19,8000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173589;001;001;V; ;S;N;S;000000;19,80;19,80;000;00006;19,8000;0,0000;19,8000;09;2000ML PET;335101;
201610210005;0001;20161021016;00050102;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||003;210;007;0000902791;20161501;0,00;25,8000;0,0000;12,9000;0,00;0,00;0,00;0,00;00002;00000;00000;00000;0,00;1;000173589;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;25,8000;0,0000;25,8000;08;1000ML PET;335101;
201610210005;0001;20161021016;00050102;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||004;210;008;0000902800;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173589;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;
201610210005;0001;20161021016;00050102;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||005;210;009;0000902813;20161501;0,00;25,8000;0,0000;12,9000;0,00;0,00;0,00;0,00;00002;00000;00000;00000;0,00;1;000173589;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;25,8000;0,0000;25,8000;08;1000ML PET;335101;
201610210005;0001;20161021016;00050102;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||006;245;022;0000902797;20161501;0,00;32,6000;0,0000;16,3000;0,00;0,00;0,00;0,00;00002;00000;00000;00000;0,00;1;000173589;001;001;V; ;S;N;S;000000;16,30;16,30;000;00012;32,6000;0,0000;32,6000;05;350ML LATA;335101;
201610210006;0001;20161021016;00050107;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||001;060;022;0000902406;20161501;0,00;21,5000;0,0000;21,5000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173590;001;001;V; ;S;N;S;000000;21,50;21,50;000;00012;21,5000;0,0000;21,5000;05;350ML LATA;335101;
201610210006;0001;20161021016;00050107;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||002;061;005;0000902451;20161501;0,00;35,9000;0,0000;35,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173590;001;001;V; ;S;N;S;000000;35,90;35,90;000;00024;35,9000;0,0000;35,9000;76;300ML 24UN;335101;
201610210006;0001;20161021016;00050107;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||003;200;031;0000902809;20161501;0,00;0,0000;0,0000;0,0000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173591;087;003;T; ;S; ; ;000000;19,80;19,80;1;00006;0,0000;0,0000;0,0000;09;2000ML PET;335101;
201610210006;0001;20161021016;00050107;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||004;210;008;0000902800;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173590;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;
201610210006;0001;20161021016;00050107;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||005;245;022;0000902797;20161501;0,00;16,3000;0,0000;16,3000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173590;001;001;V; ;S;N;S;000000;16,30;16,30;000;00012;16,3000;0,0000;16,3000;05;350ML LATA;335101;
201610210006;0001;20161021016;00050107;A1;000;203;0,00;0,00;0,00;4;37;007;007;000;000;000;000;29/10/2016;940;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||006;245;025;0000902821;20161501;0,00;16,3000;0,0000;16,3000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173590;001;001;V; ;S;N;S;000000;16,30;16,30;000;00012;16,3000;0,0000;16,3000;05;350ML LATA;335101;
201610210007;0001;20161021016;00050116;E1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||001;360;002;0000900368;20161503;0,00;19,1000;0,0000;19,1000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173592;002;001;V; ;S;N;S;000000;19,10;19,10;000;00012;19,1000;0,0000;19,1000;13;450ML PET;335101;
201610210007;0001;20161021016;00050116;E1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||002;360;001;0000900362;20161503;0,00;19,1000;0,0000;19,1000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173592;002;001;V; ;S;N;S;000000;19,10;19,10;000;00012;19,1000;0,0000;19,1000;13;450ML PET;335101;
201610210007;0001;20161021016;00050116;E1;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||003;310;002;0000900032;20161501;0,00;13,1000;0,0000;13,1000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173592;001;001;V; ;S;N;S;000000;13,10;13,10;000;00012;13,1000;0,0000;13,1000;06;500ML PET 12UN;335101;
201610210008;0001;20161021016;00050120;A5;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||001;200;026;0000902780;20161501;0,00;19,8000;0,0000;19,8000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173593;001;001;V; ;S;N;S;000000;19,80;19,80;000;00006;19,8000;0,0000;19,8000;09;2000ML PET;335101;
201610210008;0001;20161021016;00050120;A5;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||002;200;031;0000902809;20161501;0,00;19,8000;0,0000;19,8000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173593;001;001;V; ;S;N;S;000000;19,80;19,80;000;00006;19,8000;0,0000;19,8000;09;2000ML PET;335101;
201610210008;0001;20161021016;00050120;A5;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||003;210;007;0000902791;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173593;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;
201610210008;0001;20161021016;00050120;A5;000;203;0,00;0,00;0,00;1;14;001;000;000;000;000;000;21/10/2016;000;001;OLG9111 ;839;;;008;22/10/2016;N;000;;21/10/2016;0003;||004;210;008;0000902800;20161501;0,00;12,9000;0,0000;12,9000;0,00;0,00;0,00;0,00;00001;00000;00000;00000;0,00;1;000173593;001;001;V; ;S;N;S;000000;12,90;12,90;000;00006;12,9000;0,0000;12,9000;08;1000ML PET;335101;
